state,location,address,latitude,longitude
Arizona,Chandler,"3395 W Chandler Blvd Suite 1 Chandler, AZ 85226 US",33.30528109389568,-111.8999821928628
Arizona,Chandler,"890 N 54th St Ste 5 Chandler, AZ 85226 US",33.31742039082265,-111.96882761900793
Arizona,Flagstaff,"1111 S Plaza Way Flagstaff, AZ 86001 US",35.189859999999996,-111.661643
Arizona,Gilbert,"1084 S Gilbert Rd Ste 104 Gilbert, AZ 85296 US",33.32988022270755,-111.79089592376448
Arizona,Gilbert,"1546 N Cooper Rd Gilbert, AZ 85233 US",33.37792420216465,-111.80763961039871
Arizona,Gilbert,"2224 E Williams Field Rd Ste 109 Gilbert, AZ 85295 US",33.3081148,-111.74274140000001
Arizona,Gilbert,"3757 S Gilbert Rd Ste 110 Gilbert, AZ 85297 US",33.281812,-111.78891580000001
Arizona,Glendale,"20004 N 67th Ave Suite 500 Glendale, AZ 85308 US",33.6659131,-112.20345379999999
Arizona,Glendale,"5849 W Northern Ave Ste 500 Glendale, AZ 85301 US",33.5523649,-112.1856023
Arizona,Glendale,"5880 W Thunderbird Rd Ste 1 Glendale, AZ 85306 US",33.61131275531313,-112.18452254968548
Arizona,Glendale,"7700 W Arrowhead Towne Ctr Ste 2067 Glendale, AZ 85308 US",33.64207417858354,-112.22530473871643
Arizona,Glendale,"9410 W Hanna Ln Ste A101 Glendale, AZ 85305 US",33.535085678021716,-112.26195146901438
Arizona,Goodyear,"1560 N Litchfield Rd Goodyear, AZ 85395 US",33.463806634713315,-112.35866282944778
Arizona,Green Valley,"18725 S Nogales Hwy Green Valley, AZ 85614 US",31.909951,-110.9799733
Arizona,Kingman,"3455 N Stockton Hill Rd Ste C Kingman, AZ 86409 US",35.2241165,-114.0370087
Arizona,Lake Havasu City,"55 Lake Havasu Ave S Ste M Lake Havasu City, AZ 86403 US",34.47479664860446,-114.34551069653816
Arizona,Laveen,"5130 W Baseline Rd Ste 105 Laveen, AZ 85339 US",33.37927,-112.16899939999999
Arizona,Marana,"5940 W Arizona Pavillions Dr Ste 110 Marana, AZ 85743 US",32.354884717102536,-111.09165199846213
Arizona,Maricopa,"21423 N John Wayne Pkwy Ste 105 Maricopa, AZ 85139 US",33.0735015,-112.0428503
Arizona,Mesa,"1229 E McKellips Rd Ste 102 Mesa, AZ 85203 US",33.451065255847375,-111.80335687153051
Arizona,Mesa,"1335 S Alma School Rd Ste 105 Mesa, AZ 85210 US",33.38960599017438,-111.85682718956663
Arizona,Mesa,"1411 S Power Rd Ste 103 Mesa, AZ 85206 US",33.3898773,-111.68393590000002
Arizona,Mesa,"1955 S Signal Butte Rd Ste 101 Mesa, AZ 85209 US",33.379424818134176,-111.60094897883607
Arizona,Mesa,"2849 N Power Rd Ste 101 Mesa, AZ 85215 US",33.467905312396304,-111.68346853282073
Arizona,Mesa,"3440 E Baseline Rd Unit 104 Mesa, AZ 85204 US",33.37966761390607,-111.75581290980438
Arizona,Mesa,"4984 S Power Rd Ste 107 Mesa, AZ 85212 US",33.32550687825606,-111.68759818374691
Arizona,Oro Valley,"10604 N Oracle Rd Ste 101 Oro Valley, AZ 85737 US",32.3987337,-110.95573970000001
Arizona,Peoria,"16680 N 83rd Ave Ste 101 Peoria, AZ 85382 US",33.63626807976065,-112.23411100604244
Arizona,Peoria,"9940 W Happy Valley Pkwy Ste 1040 Peoria, AZ 85383 US",33.711424900000004,-112.27308059999999
Arizona,Phoenix,"100 E Camelback Rd 200 Phoenix, AZ 85012 US",33.5096598,-112.07167920000002
Arizona,Phoenix,"11 W Washington St Suite 140 Phoenix, AZ 85003 US",33.44806055476972,-112.07445550735758
Arizona,Phoenix,"1515 N 7th Ave Ste 120 Phoenix, AZ 85007 US",33.4655983,-112.08238109999999
Arizona,Phoenix,"1660 E Camelback Rd Ste 185 Phoenix, AZ 85016 US",33.51037506402035,-112.04622043510204
Arizona,Phoenix,"16635 N Tatum Blvd Ste 100 Phoenix, AZ 85032 US",33.63818544112361,-111.97738650921002
Arizona,Phoenix,"1818 W Bethany Home Rd Phoenix, AZ 85015 US",33.524379700000004,-112.0986855
Arizona,Phoenix,"21001 N Tatum Blvd Phoenix, AZ 85050 US",33.6747533,-111.9752754
Arizona,Phoenix,"2415 E Baseline Rd Ste 111 Phoenix, AZ 85042 US",33.377257168580776,-112.02987286502967
Arizona,Phoenix,"2450 W Bell Rd Ste 5 Phoenix, AZ 85023 US",33.640372836488105,-112.11227864140172
Arizona,Phoenix,"2470 W Happy Valley Rd Ste 1181 Phoenix, AZ 85085 US",33.714657,-112.1125722
